ad_type,impressions,spend_usd,geo_targeting_included,CPM
Video,10,550.0,Nevada,55000.0
Image,10100,550.0,Nevada,54.45544554455446
Text,10100,550.0,Nevada,54.45544554455446
Image,1001,550.0,Nevada,549.4505494505495
Image,10,550.0,Nevada,55000.0
Video,1001,550.0,Nevada,549.4505494505495
Video,1001,25500.0,Nevada,25474.525474525475
Text,10100,25500.0,Nevada,2524.7524752475247
Video,110,25500.0,Nevada,231818.18181818182
Image,1001,25500.0,Nevada,25474.525474525475
Text,10,25500.0,Nevada,2550000.0
Video,10100,25500.0,Nevada,2524.7524752475247
Image,110,25500.0,Nevada,231818.18181818182
Image,10100,25500.0,Nevada,2524.7524752475247
Video,10,25500.0,Nevada,2550000.0
Text,1001,25500.0,Nevada,25474.525474525475
Video,110,100000.0,Nevada,909090.9090909092
Video,10,100.0,Nevada,10000.0
Text,10,100.0,Nevada,10000.0
Image,10,100.0,Nevada,10000.0
Video,10100,100.0,Nevada,9.900990099009901
Image,10100,100.0,Nevada,9.900990099009901
Image,1001,100.0,Nevada,99.9000999000999
Video,110,75000.0,Nevada,681818.1818181819
Text,1001,550.0,Nevada,549.4505494505495
Image,10,25500.0,Nevada,2550000.0
Video,10,550.0,Alabama,55000.0
Video,10100,550.0,Alabama,54.45544554455446
Text,10,550.0,Alabama,55000.0
Image,10100,550.0,Alabama,54.45544554455446
Image,10,550.0,Alabama,55000.0
Image,1001,550.0,Alabama,549.4505494505495
Video,1001,550.0,Alabama,549.4505494505495
Text,10100,550.0,Alabama,54.45544554455446
Video,1001,25500.0,Alabama,25474.525474525475
Video,110,25500.0,Alabama,231818.18181818182
Text,10,25500.0,Alabama,2550000.0
Video,10100,25500.0,Alabama,2524.7524752475247
Text,10100,25500.0,Alabama,2524.7524752475247
Image,10,100.0,Alabama,10000.0
Video,10,100.0,Alabama,10000.0
Text,10,100.0,Alabama,10000.0
Image,10100,100.0,Alabama,9.900990099009901
Image,1001,100.0,Alabama,99.9000999000999
Video,10100,100.0,Alabama,9.900990099009901
Text,1001,25500.0,Alabama,25474.525474525475
Image,1001,25500.0,Alabama,25474.525474525475
Text,10100,100.0,Alabama,9.900990099009901
Video,10,75000.0,Alabama,7500000.0
Video,110,75000.0,Alabama,681818.1818181819
Video,10,550.0,Arizona,55000.0
Image,10100,550.0,Arizona,54.45544554455446
Video,10100,550.0,Arizona,54.45544554455446
Text,10,550.0,Arizona,55000.0
Image,10,550.0,Arizona,55000.0
Image,1001,550.0,Arizona,549.4505494505495
Video,1001,550.0,Arizona,549.4505494505495
Text,10100,550.0,Arizona,54.45544554455446
Image,110,550.0,Arizona,5000.0
Text,1001,550.0,Arizona,549.4505494505495
Video,1001,25500.0,Arizona,25474.525474525475
Text,1001,25500.0,Arizona,25474.525474525475
Video,110,25500.0,Arizona,231818.18181818182
Text,10100,25500.0,Arizona,2524.7524752475247
Image,110,25500.0,Arizona,231818.18181818182
Text,110,25500.0,Arizona,231818.18181818182
Image,1001,25500.0,Arizona,25474.525474525475
Video,10100,25500.0,Arizona,2524.7524752475247
Text,10,25500.0,Arizona,2550000.0
Image,10100,25500.0,Arizona,2524.7524752475247
Video,110,100000.0,Arizona,909090.9090909092
Video,10,100.0,Arizona,10000.0
Image,10100,100.0,Arizona,9.900990099009901
Image,10,100.0,Arizona,10000.0
Text,10,100.0,Arizona,10000.0
Video,10100,100.0,Arizona,9.900990099009901
Image,1001,100.0,Arizona,99.9000999000999
Text,10100,100.0,Arizona,9.900990099009901
Video,110,75000.0,Arizona,681818.1818181819
Text,1001,75000.0,Arizona,74925.07492507492
Image,10,25500.0,Arizona,2550000.0
Text,1001,100000.0,Arizona,99900.0999000999
Image,110,75000.0,Arizona,681818.1818181819
Video,1001,75000.0,Arizona,74925.07492507492
Video,10,550.0,Florida,55000.0
Video,10100,550.0,Florida,54.45544554455446
